method,error_relative,runtime_ms
double,3.2095564528904700e-14,8.120
pairwise,4.0525950715564429e-17,17.284
kahan,4.0525950715564429e-17,23.112
knuth,4.0525950715564429e-17,12.248
longdouble,4.0525950715564429e-17,6.731
