method,error_relative,runtime_ms
double,0.0000000000000000e+00,5.901
pairwise,0.0000000000000000e+00,22.037
kahan,0.0000000000000000e+00,19.451
knuth,0.0000000000000000e+00,10.772
longdouble,0.0000000000000000e+00,5.542
