method,error_relative,runtime_ms
double,4.8720728468027180e-11,32.397
pairwise,5.8594741272597983e-14,220.432
kahan,5.8594741272597983e-14,119.382
knuth,5.8594741272597983e-14,65.177
longdouble,7.8580341447382193e-17,34.749
