method,error_relative,runtime_ms
double,8.1244138852262993e-12,7.014
pairwise,2.3068196011411093e-15,16.335
kahan,2.3068196011411093e-15,19.242
knuth,2.3068196011411093e-15,11.181
longdouble,2.1486812114517257e-17,5.795
