N,V,Time(ms)
1000000, 2, 61.7995
1000000, 4, 64.1178
1000000, 8, 62.9151
1000000, 16, 63.1835
1000000, 32, 58.3916
1000000, 64, 62.5154
1000000, 128, 61.9107
1000000, 256, 61.5125
