N,V,Time(ms)
10000, 2, 0.816247
10000, 4, 0.845117
10000, 8, 0.577631
10000, 16, 1.00697
10000, 32, 0.828185
10000, 64, 0.695606
10000, 128, 0.862065
10000, 256, 0.599365
