N,V,Time(ms)
10000000, 2, 582.117
10000000, 4, 697.617
10000000, 8, 643.044
10000000, 16, 598.464
10000000, 32, 574.831
10000000, 64, 561.623
10000000, 128, 567.124
10000000, 256, 570.41
