N,V,Time(ms)
1000, 2, 0.080094
1000, 4, 0.058155
1000, 8, 0.081329
1000, 16, 0.087197
1000, 32, 0.080118
1000, 64, 0.061517
1000, 128, 0.083724
1000, 256, 0.05603
